Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
GFP_3_R2_001	(6.0, 2.0)	(7.0, 463.0)	(8.0, 1743.0)	(9.0, 1974.0)	(10.0, 2129.0)	(11.0, 2378.0)	(12.0, 3634.0)	(13.0, 4279.0)	(14.0, 4344.0)	(15.0, 5832.0)	(16.0, 14829.0)	(17.0, 16815.0)	(18.0, 41734.0)	(19.0, 72981.0)	(20.0, 101184.0)	(21.0, 105769.0)	(22.0, 106890.0)	(23.0, 110900.0)	(24.0, 127238.0)	(25.0, 139208.0)	(26.0, 160046.0)	(27.0, 176860.0)	(28.0, 205779.0)	(29.0, 233820.0)	(30.0, 276121.0)	(31.0, 311997.0)	(32.0, 390792.0)	(33.0, 482242.0)	(34.0, 662212.0)	(35.0, 939619.0)	(36.0, 1584520.0)	(37.0, 2898950.0)	(38.0, 8863358.0)	(39.0, 48727267.0)	(40.0, 9294160.0)
GFP_3_R2_paired	(16.0, 2.0)	(17.0, 27.0)	(18.0, 196.0)	(19.0, 1236.0)	(20.0, 7282.0)	(21.0, 23450.0)	(22.0, 46731.0)	(23.0, 63593.0)	(24.0, 82351.0)	(25.0, 92251.0)	(26.0, 108612.0)	(27.0, 124232.0)	(28.0, 157114.0)	(29.0, 188304.0)	(30.0, 238682.0)	(31.0, 295701.0)	(32.0, 391387.0)	(33.0, 500904.0)	(34.0, 697460.0)	(35.0, 997093.0)	(36.0, 1652768.0)	(37.0, 2947329.0)	(38.0, 8748314.0)	(39.0, 48632139.0)	(40.0, 9303070.0)										
YAF_1_R1_001	(16.0, 4.0)	(17.0, 282.0)	(18.0, 5723.0)	(19.0, 30437.0)	(20.0, 70638.0)	(21.0, 96934.0)	(22.0, 118356.0)	(23.0, 136140.0)	(24.0, 164887.0)	(25.0, 191045.0)	(26.0, 236249.0)	(27.0, 280281.0)	(28.0, 362601.0)	(29.0, 469075.0)	(30.0, 689424.0)	(31.0, 1140621.0)	(32.0, 2778561.0)	(33.0, 5351706.0)	(34.0, 5472505.0)	(35.0, 3989688.0)	(36.0, 3795387.0)	(37.0, 4944200.0)	(38.0, 9861108.0)	(39.0, 42397578.0)	(40.0, 7998882.0)										
YAF_1_R1_paired	(19.0, 7.0)	(20.0, 447.0)	(21.0, 4642.0)	(22.0, 17494.0)	(23.0, 34797.0)	(24.0, 57234.0)	(25.0, 80939.0)	(26.0, 113458.0)	(27.0, 147189.0)	(28.0, 202595.0)	(29.0, 260485.0)	(30.0, 349301.0)	(31.0, 451506.0)	(32.0, 633747.0)	(33.0, 915205.0)	(34.0, 1351281.0)	(35.0, 2187156.0)	(36.0, 4873130.0)	(37.0, 7717984.0)	(38.0, 17389497.0)	(39.0, 44879533.0)	(40.0, 8020697.0)													
YAF_1_R2_001	(6.0, 2.0)	(7.0, 418.0)	(8.0, 1849.0)	(9.0, 2222.0)	(10.0, 2558.0)	(11.0, 2703.0)	(12.0, 4052.0)	(13.0, 4934.0)	(14.0, 4942.0)	(15.0, 6301.0)	(16.0, 16337.0)	(17.0, 14039.0)	(18.0, 32912.0)	(19.0, 53988.0)	(20.0, 70780.0)	(21.0, 70890.0)	(22.0, 74554.0)	(23.0, 81508.0)	(24.0, 97193.0)	(25.0, 108921.0)	(26.0, 127596.0)	(27.0, 141037.0)	(28.0, 166116.0)	(29.0, 188926.0)	(30.0, 227451.0)	(31.0, 252912.0)	(32.0, 321352.0)	(33.0, 401521.0)	(34.0, 564450.0)	(35.0, 822687.0)	(36.0, 1430357.0)	(37.0, 2718492.0)	(38.0, 8456696.0)	(39.0, 57348276.0)	(40.0, 16763340.0)
YAF_1_R2_paired	(16.0, 3.0)	(17.0, 12.0)	(18.0, 186.0)	(19.0, 874.0)	(20.0, 4932.0)	(21.0, 15800.0)	(22.0, 31419.0)	(23.0, 42690.0)	(24.0, 55046.0)	(25.0, 62666.0)	(26.0, 76007.0)	(27.0, 88988.0)	(28.0, 114834.0)	(29.0, 141507.0)	(30.0, 185352.0)	(31.0, 233108.0)	(32.0, 314274.0)	(33.0, 411533.0)	(34.0, 587610.0)	(35.0, 864807.0)	(36.0, 1484323.0)	(37.0, 2760511.0)	(38.0, 8343754.0)	(39.0, 57119077.0)	(40.0, 16749011.0)										
YAF_2_R1_001	(16.0, 8.0)	(17.0, 362.0)	(18.0, 8351.0)	(19.0, 47328.0)	(20.0, 109346.0)	(21.0, 141674.0)	(22.0, 174699.0)	(23.0, 210610.0)	(24.0, 273208.0)	(25.0, 340498.0)	(26.0, 455926.0)	(27.0, 601965.0)	(28.0, 891504.0)	(29.0, 1338115.0)	(30.0, 2306034.0)	(31.0, 5187209.0)	(32.0, 15049760.0)	(33.0, 24334681.0)	(34.0, 16860212.0)	(35.0, 8251819.0)	(36.0, 4887318.0)	(37.0, 5466577.0)	(38.0, 7766138.0)	(39.0, 31007250.0)	(40.0, 7221829.0)										
YAF_2_R1_paired	(18.0, 1.0)	(19.0, 6.0)	(20.0, 407.0)	(21.0, 4643.0)	(22.0, 18571.0)	(23.0, 38984.0)	(24.0, 64799.0)	(25.0, 91557.0)	(26.0, 127814.0)	(27.0, 170665.0)	(28.0, 240093.0)	(29.0, 320747.0)	(30.0, 445726.0)	(31.0, 610718.0)	(32.0, 975490.0)	(33.0, 1682955.0)	(34.0, 2417095.0)	(35.0, 4614470.0)	(36.0, 11510002.0)	(37.0, 17867461.0)	(38.0, 41881893.0)	(39.0, 41634610.0)	(40.0, 7243191.0)												
YAF_2_R2_001	(6.0, 17.0)	(7.0, 663.0)	(8.0, 2415.0)	(9.0, 2960.0)	(10.0, 3634.0)	(11.0, 4384.0)	(12.0, 6769.0)	(13.0, 8101.0)	(14.0, 8327.0)	(15.0, 11544.0)	(16.0, 25748.0)	(17.0, 22408.0)	(18.0, 55262.0)	(19.0, 92529.0)	(20.0, 123620.0)	(21.0, 126560.0)	(22.0, 132433.0)	(23.0, 142930.0)	(24.0, 166441.0)	(25.0, 185836.0)	(26.0, 218536.0)	(27.0, 244573.0)	(28.0, 291468.0)	(29.0, 334118.0)	(30.0, 398349.0)	(31.0, 449537.0)	(32.0, 570187.0)	(33.0, 715728.0)	(34.0, 999228.0)	(35.0, 1428771.0)	(36.0, 2391028.0)	(37.0, 4522511.0)	(38.0, 16382670.0)	(39.0, 90613732.0)	(40.0, 12249404.0)
YAF_2_R2_paired	(16.0, 2.0)	(17.0, 44.0)	(18.0, 254.0)	(19.0, 1571.0)	(20.0, 8611.0)	(21.0, 27177.0)	(22.0, 53779.0)	(23.0, 74017.0)	(24.0, 95630.0)	(25.0, 109876.0)	(26.0, 132322.0)	(27.0, 156737.0)	(28.0, 203790.0)	(29.0, 250299.0)	(30.0, 327211.0)	(31.0, 414763.0)	(32.0, 559702.0)	(33.0, 731980.0)	(34.0, 1041820.0)	(35.0, 1512332.0)	(36.0, 2503064.0)	(37.0, 4588929.0)	(38.0, 16087695.0)	(39.0, 90717438.0)	(40.0, 12362855.0)										
YAF_3_R1_001	(16.0, 4.0)	(17.0, 347.0)	(18.0, 6765.0)	(19.0, 35803.0)	(20.0, 83475.0)	(21.0, 112634.0)	(22.0, 135605.0)	(23.0, 155624.0)	(24.0, 191765.0)	(25.0, 226391.0)	(26.0, 284370.0)	(27.0, 348237.0)	(28.0, 465418.0)	(29.0, 625003.0)	(30.0, 938449.0)	(31.0, 1620490.0)	(32.0, 4084341.0)	(33.0, 8223160.0)	(34.0, 8891725.0)	(35.0, 5910614.0)	(36.0, 4112604.0)	(37.0, 4783434.0)	(38.0, 8761250.0)	(39.0, 37351932.0)	(40.0, 6918646.0)										
YAF_3_R1_paired	(19.0, 12.0)	(20.0, 503.0)	(21.0, 5110.0)	(22.0, 18757.0)	(23.0, 38149.0)	(24.0, 61811.0)	(25.0, 86650.0)	(26.0, 119503.0)	(27.0, 156167.0)	(28.0, 215502.0)	(29.0, 278496.0)	(30.0, 373329.0)	(31.0, 481995.0)	(32.0, 670438.0)	(33.0, 960191.0)	(34.0, 1447477.0)	(35.0, 2086775.0)	(36.0, 4336841.0)	(37.0, 9228573.0)	(38.0, 21989248.0)	(39.0, 43891414.0)	(40.0, 6941605.0)													
YAF_3_R2_001	(6.0, 9.0)	(7.0, 466.0)	(8.0, 1877.0)	(9.0, 2284.0)	(10.0, 2746.0)	(11.0, 3178.0)	(12.0, 4506.0)	(13.0, 5515.0)	(14.0, 5574.0)	(15.0, 7573.0)	(16.0, 17942.0)	(17.0, 16092.0)	(18.0, 40144.0)	(19.0, 69517.0)	(20.0, 94446.0)	(21.0, 96626.0)	(22.0, 100331.0)	(23.0, 107154.0)	(24.0, 124330.0)	(25.0, 137663.0)	(26.0, 160473.0)	(27.0, 178769.0)	(28.0, 211276.0)	(29.0, 239635.0)	(30.0, 287498.0)	(31.0, 324353.0)	(32.0, 408421.0)	(33.0, 511457.0)	(34.0, 711806.0)	(35.0, 1019566.0)	(36.0, 1732610.0)	(37.0, 3244400.0)	(38.0, 10404952.0)	(39.0, 61001485.0)	(40.0, 12993412.0)
YAF_3_R2_paired	(16.0, 3.0)	(17.0, 27.0)	(18.0, 196.0)	(19.0, 1167.0)	(20.0, 6492.0)	(21.0, 21435.0)	(22.0, 42206.0)	(23.0, 57803.0)	(24.0, 75140.0)	(25.0, 85164.0)	(26.0, 101487.0)	(27.0, 119427.0)	(28.0, 152561.0)	(29.0, 186198.0)	(30.0, 241199.0)	(31.0, 301757.0)	(32.0, 402701.0)	(33.0, 524556.0)	(34.0, 741251.0)	(35.0, 1075217.0)	(36.0, 1803747.0)	(37.0, 3291658.0)	(38.0, 10257576.0)	(39.0, 60894700.0)	(40.0, 13004878.0)										
