"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change"
"5090","PBX3",188120,"Distal Intergenic",1.40521896596201
"101929406","LINC01648",91142,"Distal Intergenic",1.40485069255546
"7087","ICAM5",177,"Promoter (<=1kb)",1.40326361616092
"398","ARHGDIG",335,"Promoter (<=1kb)",1.40244720094934
"1852","DUSP9",-5731,"Distal Intergenic",1.4017479329335
"221002","RASGEF1A",2278,"Promoter (2-3kb)",1.40157313077191
"924","CD7",265,"Promoter (<=1kb)",1.39965765362073
"199990","FAAP20",-680,"Promoter (<=1kb)",1.39921020440099
"4145","MATK",-23572,"Intron (ENST00000262961.9/23217, intron 6 of 18)",1.39818652395923
"80235","PIGZ",759,"Promoter (<=1kb)",1.39816127760838
"100126693","LINC00322",-10783,"Distal Intergenic",1.39700390965397
"1468","SLC25A10",17701,"Distal Intergenic",1.39684648707013
"27074","LAMP3",16876,"Intron (ENST00000265598.8/27074, intron 3 of 5)",1.39587614319935
"863","CBFA2T3",-8,"Promoter (<=1kb)",1.39545171527284
"11033","ADAP1",5776,"Intron (ENST00000265846.10/11033, intron 4 of 10)",1.39539599484826
"547","KIF1A",125,"Promoter (<=1kb)",1.39462596303749
"1642","DDB1",0,"Promoter (<=1kb)",1.3943154757935
"54991","C1orf159",-1791,"Promoter (1-2kb)",1.39400884920839
"79816","TLE6",7925,"Distal Intergenic",1.39259483467346
"2914","GRM4",-4247,"Intron (ENST00000538487.7/2914, intron 3 of 10)",1.39191554336617
"105376277","LMX1B-DT",517,"Promoter (<=1kb)",1.39087823344522
"101929614","LOC101929614",-161497,"Distal Intergenic",1.3907960543536
"284661","LINC01777",-58645,"Distal Intergenic",1.39054778711524
"7161","TP73",-3926,"Exon (ENST00000378295.9/7161, exon 6 of 14)",1.39031816641643
"107985118","LOC107985118",501,"Promoter (<=1kb)",1.39025103483406
"146712","B3GNTL1",-11089,"Distal Intergenic",1.389730475429
"197322","ACSF3",-23282,"Distal Intergenic",1.38898998977967
"124903827","LOC124903827",952,"Promoter (<=1kb)",1.38604165215365
"107986547","LOC107986547",16665,"Exon (ENST00000392115.2/ENST00000392115.2, exon 1 of 1)",1.38483109201672
"124900303","LOC124900303",1627,"Promoter (1-2kb)",1.38418439027161
"63976","PRDM16",-953,"Promoter (<=1kb)",1.38100729253116
"57597","BAHCC1",-11431,"Intron (ENST00000675386.2/57597, intron 3 of 27)",1.38046431455919
"124903827","LOC124903827",502,"Promoter (<=1kb)",1.38034097230535
"441478","NRARP",-16799,"Intron (ENST00000491734.6/54932, intron 13 of 14)",1.379141249563
"147111","NOTUM",1313,"Promoter (1-2kb)",1.37873993937887
"8535","CBX4",-2252,"Promoter (2-3kb)",1.37740903620756
"101929034","LINC02116",-10857,"Distal Intergenic",1.37721956083248
"242","ALOX12B",262,"Promoter (<=1kb)",1.37717340459233
"11187","PKP3",308,"Promoter (<=1kb)",1.37707424705216
"285191","LOC285191",1835,"Promoter (1-2kb)",1.37684000653617
"6604","SMARCD3",-390,"Promoter (<=1kb)",1.37677471037192
"92140","MTDH",-128909,"Distal Intergenic",1.37623239698383
"285498","RNF212",11597,"Distal Intergenic",1.37606960499482
"642658","SCX",3740,"Intron (ENST00000569669.6/23246, intron 3 of 15)",1.37600877470822
"1953","MEGF6",10789,"Intron (ENST00000356575.9/1953, intron 5 of 36)",1.37492617947367
"23090","ZNF423",-457,"Promoter (<=1kb)",1.3720927301089
"80781","COL18A1",-16011,"Distal Intergenic",1.37109697746018
"161","AP2A2",-6994,"Exon (ENST00000529818.6/161, exon 5 of 7)",1.3707778007286
"54965","PIGX",19897,"Exon (ENST00000328557.5/375387, exon 3 of 3)",1.36998018829089
"377841","ENTPD8",-805,"Promoter (<=1kb)",1.36840328521394
"5866","RAB3IL1",-750,"Promoter (<=1kb)",1.36804499400554
"441478","NRARP",-1453,"Promoter (1-2kb)",1.36798019658158
"23145","SSPOP",640,"Promoter (<=1kb)",1.36754824740528
"56953","NT5M",27596,"Distal Intergenic",1.36699822961936
"85358","SHANK3",-758,"Promoter (<=1kb)",1.36577274784196
"26873","OPLAH",602,"Promoter (<=1kb)",1.36384484834896
"10154","PLXNC1",-818,"Promoter (<=1kb)",1.36383048352372
"146713","RBFOX3",0,"Promoter (<=1kb)",1.36347923829778
"10984","KCNQ1OT1",-33834,"Intron (ENST00000496887.7/3784, intron 11 of 15)",1.36112564704932
"10460","TACC3",6046,"Distal Intergenic",1.36027432662424
"771","CA12",2670,"Promoter (2-3kb)",1.3593907080849
"414332","LCN10",0,"Promoter (<=1kb)",1.35915042962262
"91353","IGLL3P",0,"Promoter (<=1kb)",1.35792175709697
"83696","TRAPPC9",12464,"Intron (ENST00000438773.4/83696, intron 21 of 22)",1.3575440655812
"100507218","RNF157-AS1",-6646,"Distal Intergenic",1.35694624493651
"146336","SSTR5-AS1",29153,"Distal Intergenic",1.35643758449663
"30818","KCNIP3",842,"Promoter (<=1kb)",1.35631285787825
"340146","SLC35D3",916,"Promoter (<=1kb)",1.35591309975248
"54897","CASZ1",3651,"Intron (ENST00000606802.1/ENST00000606802.1, intron 1 of 1)",1.35441140449828
"256949","KANK3",484,"Promoter (<=1kb)",1.35404973557982
"51162","EGFL7",1197,"Promoter (1-2kb)",1.35193096034111
"140628","GATA5",8363,"Intron (ENST00000252997.3/140628, intron 3 of 6)",1.35079172256634
"150365","MEI1",-2672,"Promoter (2-3kb)",1.35008781577129
"7113","TMPRSS2",-4014,"Intron (ENST00000679263.1/7113, intron 9 of 13)",1.34915643384559
"23263","MCF2L",-3991,"Intron (ENST00000375608.7/23263, intron 16 of 29)",1.34871788382826
"5881","RAC3",802,"Promoter (<=1kb)",1.34813998987
"4923","NTSR1",8237,"Distal Intergenic",1.34810648878066
"79258","MMEL1",-55049,"Intron (ENST00000401095.9/100287898, intron 6 of 8)",1.34795056127312
"57666","FBRSL1",-74281,"Distal Intergenic",1.34789190157497
"105376276","LOC105376276",32743,"Distal Intergenic",1.34714602398372
"57732","ZFYVE28",-582,"Promoter (<=1kb)",1.34707287711565
"4583","MUC2",4590,"Exon (ENST00000361558.7/4583, exon 37 of 49)",1.34593476443722
"4037","LRP3",1437,"Promoter (1-2kb)",1.34536613167767
"9421","HAND1",-6363,"Exon (ENST00000518984.1/ENST00000518984.1, exon 2 of 2)",1.34529512423065
"102723730","LOC102723730",-1272,"Promoter (1-2kb)",1.34352355449872
"93622","MRFAP1L2",0,"Promoter (<=1kb)",1.3423147461997
"105370880","LINC02205",-13383,"Distal Intergenic",1.34165361370936
"339059","LOC339059",878,"Promoter (<=1kb)",1.3401250614557
"6518","SLC2A5",878,"Promoter (<=1kb)",1.33968237735533
"56301","SLC7A10",996,"Promoter (<=1kb)",1.33966419791269
"56301","SLC7A10",-2967,"Promoter (2-3kb)",1.33959216685771
"100422957","MIR3131",622,"Promoter (<=1kb)",1.339158943894
"2687","GGT5",0,"Promoter (<=1kb)",1.33845112872809
"2775","GNAO1",8635,"Intron (ENST00000262493.12/2775, intron 6 of 8)",1.3379619068073
"547","KIF1A",601,"Promoter (<=1kb)",1.33783576052234
"5413","SEPTIN5",0,"Promoter (<=1kb)",1.33724604196866
"390598","SKOR1",-592,"Promoter (<=1kb)",1.33715001613899
"128408","BHLHE23",10356,"Distal Intergenic",1.33666848311168
"23040","MYT1L",-3606,"Intron (ENST00000647755.1/23040, intron 19 of 24)",1.3353563832377
"92736","OTOP2",-904,"Promoter (<=1kb)",1.33430780473374
