"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"29970","SCHIP1",0,"Promoter (<=1kb)",1.81743820233272,4.53508132685835e-11,9.95195542476191e-10
"667","DST",-19733,"Intron (ENST00000421834.6/667, intron 2 of 93)",1.81613356018591,5.92955647622825e-20,2.33951255826369e-17
"8828","NRP2",0,"Promoter (<=1kb)",1.80767255104972,4.63573077244223e-28,1.49370971706043e-24
"103695435","BBOX1-AS1",-21256,"Distal Intergenic",1.80613368137026,2.62161327606808e-12,8.41921087478808e-11
"9734","HDAC9",-35663,"Exon (ENST00000417496.6/9734, exon 3 of 13)",1.80222895376848,5.74383056929511e-14,3.25646558346576e-12
"4544","MTNR1B",54481,"Distal Intergenic",1.80077654813945,3.47657798552034e-10,5.62449223381295e-09
"960","CD44",0,"Promoter (<=1kb)",1.79940128126913,2.01664464381782e-22,1.94938954494649e-19
"858","CAV2",11401,"Distal Intergenic",1.79809320786035,1.15383370455887e-15,1.08286733059401e-13
"323","APBB2",46457,"Intron (ENST00000508593.6/323, intron 1 of 17)",1.79555622793534,4.28550144657887e-13,1.7779313190281e-11
"102724434","LOC102724434",13407,"Intron (ENST00000444244.1/ENST00000444244.1, intron 1 of 4)",1.79283995707785,1.5925385652925e-17,2.67726505067825e-15
"94122","SYTL5",6007,"Intron (ENST00000465127.1/7102, intron 3 of 8)",1.79123219089935,4.13110229057495e-11,9.16078237500037e-10
"302","ANXA2",0,"Promoter (<=1kb)",1.78824141984549,6.85658380321068e-32,6.62791673337361e-28
"10745","PHTF1",45294,"Exon (ENST00000307546.14/260425, exon 16 of 21)",1.78766924275395,1.34963065404173e-19,4.7440744426525e-17
"57568","SIPA1L2",-9003,"Exon (ENST00000366630.5/57568, exon 7 of 22)",1.78608338413764,1.88358573568279e-12,6.32211163679781e-11
"101926978","LINC01111",0,"Promoter (<=1kb)",1.78541462298617,2.39399637484515e-17,3.92229931482045e-15
"107985307","LINC01705",-102381,"Intron (ENST00000652067.1/ENST00000652067.1, intron 4 of 6)",1.78168636481652,2.21286979049448e-09,2.71455657738768e-08
"107986821","LOC107986821",-8800,"Intron (ENST00000642601.1/101927525, intron 7 of 8)",1.78101749016019,4.76808959363953e-18,9.66411780593067e-16
"100128787","LINC01349",42517,"Distal Intergenic",1.77758991735778,1.70625529408511e-10,3.10905123473586e-09
"114907","FBXO32",1666,"Promoter (1-2kb)",1.77740015538913,7.88501465592365e-14,4.19947626289179e-12
"8728","ADAM19",16074,"Intron (ENST00000517951.5/8728, intron 3 of 22)",1.77534049496679,4.31476914176706e-13,1.78624051001676e-11
"57591","MRTFA",-6177,"Intron (ENST00000651595.2/57591, intron 3 of 14)",1.77326378459443,1.15688673851484e-09,1.5673504776249e-08
"4643","MYO1E",-29080,"Intron (ENST00000288235.9/4643, intron 1 of 27)",1.77219260024127,4.24352930938985e-21,2.56375475432606e-18
"84159","ARID5B",0,"Promoter (<=1kb)",1.77089860094205,8.60513473476956e-30,4.1590767456825e-26
"55122","AKIRIN2",-19623,"Distal Intergenic",1.76637381729661,2.73488137763505e-12,8.75388438308252e-11
"57451","TENM2",-20699,"Intron (ENST00000518659.6/57451, intron 4 of 30)",1.76353456961111,3.17241236680743e-13,1.35093057901956e-11
"200162","SPAG17",39967,"Intron (ENST00000336338.10/200162, intron 3 of 48)",1.76285500682712,3.61628865135043e-23,4.36960678103487e-20
"9218","VAPA",13060,"Exon (ENST00000400000.7/9218, exon 5 of 6)",1.75978279002464,1.09225444057244e-16,1.4563141447991e-14
"57624","NYAP2",479852,"Distal Intergenic",1.75490042038055,1.59786891273227e-09,2.06218956541075e-08
"100874127","LINC00332",-61917,"Intron (ENST00000615947.1/ENST00000615947.1, intron 2 of 3)",1.75169826649734,2.19774092629738e-10,3.81751350656848e-09
"8439","NSMAF",-181594,"Intron (ENST00000361421.2/9760, intron 4 of 8)",1.75065598563373,4.01747312039742e-09,4.52885176890048e-08
"7204","TRIO",-3960,"Intron (ENST00000698541.1/7204, intron 1 of 36)",1.74975154732015,9.74661465367216e-19,2.61710140415894e-16
"7913","DEK",2816,"Promoter (2-3kb)",1.74934555365346,1.57268659560126e-09,2.03648693588474e-08
"105376236","LOC105376236",60790,"Distal Intergenic",1.74644636511362,4.1921499736636e-20,1.89805469559658e-17
"55277","FGGY",2613,"Promoter (2-3kb)",1.74415261532666,2.73544288066183e-18,6.37160448335363e-16
"4603","MYBL1",4641,"3' UTR",1.7440285019556,5.57910273750959e-17,8.109834077013e-15
"7204","TRIO",869,"Promoter (<=1kb)",1.74331458169866,1.43248103361311e-12,5.01705721428301e-11
"55187","VPS13D",0,"Promoter (<=1kb)",1.74281826609292,1.51148593551581e-15,1.35284988848737e-13
"476","ATP1A1",-11762,"Distal Intergenic",1.74272746960087,2.0944126281326e-17,3.49062752928341e-15
"55744","COA1",34178,"Intron (ENST00000415076.6/55744, intron 1 of 6)",1.7417615924613,2.46624454995404e-20,1.16292453376248e-17
"23514","SPIDR",71749,"Intron (ENST00000541342.2/23514, intron 7 of 18)",1.73829991748324,2.70563238753443e-15,2.33517816733049e-13
"10768","AHCYL1",0,"Promoter (<=1kb)",1.73781108059086,8.34441240006133e-14,4.3718841444549e-12
"56995","TULP4",-51866,"Intron (ENST00000619713.1/ENST00000619713.1, intron 1 of 1)",1.73590730669372,4.04795597873574e-18,8.6954592152109e-16
"105379303","LOC105379303",-7506,"Exon (ENST00000364287.1/ENST00000364287.1, exon 1 of 1)",1.73555597280984,5.31378220320526e-17,7.90241164112056e-15
