"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"4026","LPP",-2867,"Promoter (2-3kb)",1.38851573828875,8.56372060260058e-10,1.21469119890005e-08
"84288","EFCAB2",1213,"Promoter (1-2kb)",1.38650922122833,2.93115737754446e-10,4.8683440516082e-09
"1015","CDH17",2817,"Promoter (2-3kb)",1.38509574987427,5.20860889225127e-11,1.12135897231508e-09
"55370","PPP4R1L",1889,"Promoter (1-2kb)",1.38486671532577,1.06154738983717e-09,1.45966541164453e-08
"105375267","LOC105375267",0,"Promoter (<=1kb)",1.38445669831694,8.7076792186706e-13,3.30089337910899e-11
"23365","ARHGEF12",302,"Promoter (<=1kb)",1.38299149052075,2.56804722681817e-12,8.27467617267927e-11
"441024","MTHFD2L",-2999,"Promoter (2-3kb)",1.38006100697449,5.95526884961425e-10,8.93197926063555e-09
"100126331","MIR942",0,"Promoter (<=1kb)",1.37869185800512,4.56232303149308e-18,9.38333948594209e-16
"729467","HSD52",1864,"Promoter (1-2kb)",1.37545313397419,1.18474462735913e-15,1.10118595580452e-13
"399959","MIR100HG",0,"Promoter (<=1kb)",1.37503882555486,5.05042928437567e-20,2.16069337665615e-17
"4693","NDP",2364,"Promoter (2-3kb)",1.37499534027438,8.95707895627366e-12,2.46326041908448e-10
"4926","NUMA1",0,"Promoter (<=1kb)",1.37473980410047,2.51200599974947e-08,2.21857523952291e-07
"4897","NRCAM",-1977,"Promoter (1-2kb)",1.37112306117499,3.86612018444633e-15,3.19417527888465e-13
"23268","DNMBP",0,"Promoter (<=1kb)",1.36987621276053,1.34810746066043e-13,6.50629791233625e-12
"5915","RARB",0,"Promoter (<=1kb)",1.36858696516563,2.33796575611695e-10,4.01419999671483e-09
"100507582","BHLHE40-AS1",0,"Promoter (<=1kb)",1.36088391862624,1.02472420149853e-09,1.41643385218749e-08
"84777","DLGAP1-AS2",0,"Promoter (<=1kb)",1.35944064573867,5.81942072761061e-13,2.36856549319781e-11
"101929286","KCNMA1-AS3",0,"Promoter (<=1kb)",1.35879976573997,8.0820339106427e-15,6.12744947429237e-13
"100507056","CCAT1",0,"Promoter (<=1kb)",1.35842890180633,2.62682286331356e-14,1.68160153696824e-12
"60412","EXOC4",1949,"Promoter (1-2kb)",1.35317324796083,5.25956961451722e-10,8.044561658027e-09
"79109","MAPKAP1",-1554,"Promoter (1-2kb)",1.3518998553693,8.65331973204043e-08,6.37199946683614e-07
"51232","CRIM1",0,"Promoter (<=1kb)",1.35182222434719,3.38352730162436e-10,5.50620650861142e-09
"11252","PACSIN2",0,"Promoter (<=1kb)",1.35148364392372,4.1806612742238e-08,3.42332589642392e-07
