Length	FoldEnrichment
11662	5.0865
16873	6.10685
17742	5.33286
9483	5.15325
4986	7.3442
3381	5.80891
15521	5.48526
7980	6.45055
3476	5.74672
2834	5.20325
5250	7.49227
16980	6.48886
4827	5.91229
5439	5.0348
1485	5.26676
7467	5.21149
1725	5.25202
16241	6.17785
2144	5.31467
4317	5.60876
3486	5.4798
4090	5.70835
5491	5.27073
4900	5.39235
1486	7.50128
1361	6.64886
5550	6.45636
1886	5.45337
2095	7.92751
1770	5.90793
3135	6.41336
1099	5.31879
2501	5.75495
1240	8.99123
4950	5.35441
2415	6.15554
15885	6.26051
1666	8.28687
5215	5.13465
1258	6.48075
2480	5.11848
4521	5.73598
6118	7.37086
2441	7.48428
5215	5.41888
3224	6.39731
3147	5.43187
3799	5.79377
1973	5.88069
21802	5.22317
1491	9.46424
1586	7.78833
30716	5.66047
3429	6.28919
1548	5.02808
2947	5.55486
1573	5.10135
2646	5.57195
4914	5.06768
3569	6.39952
1087	5.13509
1401	5.48348
8322	5.21909
13021	5.12949
1739	5.11287
1403	5.42926
1106	7.16932
1864	7.46174
1303	6.04893
6406	5.38407
11106	5.55763
5350	5.29232
1916	6.09934
11565	5.39365
6209	5.76322
16452	6.62492
1094	14.0675
12516	6.76813
1146	5.67292
3422	6.39294
1695	5.51146
1575	5.54802
1552	5.06458
1352	6.93858
9675	6.47724
7594	5.75567
2258	5.51542
1276	6.00529
1527	5.9684
1447	6.15131
6570	5.39347
3318	5.90633
2277	6.61165
7576	5.07586
17157	5.13805
26951	6.90069
8839	5.02921
3762	5.59416
1348	7.95144
3162	6.97843
17061	5.70035
5837	5.70637
1009	6.62697
5993	5.79211
18679	6.39953
33804	7.33845
4200	7.88765
2327	5.03396
8453	7.77489
4655	6.14338
1432	5.9454
4016	7.13391
16013	5.2148
6336	5.64488
2980	5.81159
1359	5.48509
1494	6.78901
3638	5.87033
1844	6.35046
2744	7.34355
2034	5.13605
8554	5.07424
1389	5.86523
3069	6.33655
7882	5.29903
1360	7.97671
2824	5.47416
3231	5.32191
4302	5.28117
12877	5.69273
2042	5.12785
10982	5.53985
3650	6.3107
5049	5.84987
10302	5.38238
12132	6.56927
3717	5.1251
9373	5.33993
1627	5.15971
1937	7.74299
1280	8.04117
3856	9.58215
24712	5.81495
1376	5.65953
3099	6.05063
6836	5.8488
6546	8.02327
3080	5.80121
10323	7.36604
1637	7.56351
43231	6.59284
37261	6.63081
3575	5.55593
28993	5.71487
3417	5.04061
7859	5.18532
3951	5.12691
2840	5.45985
1332	6.63164
9992	5.05477
1841	5.35041
1471	6.12639
1519	6.49307
4934	5.18962
4275	6.91195
1280	7.79581
1645	6.06012
1366	5.34329
3922	5.98096
2595	5.22047
24460	5.56856
2201	5.11073
3828	5.89729
6315	5.64001
2639	7.32467
6552	5.362
2867	6.20413
3124	5.62679
1628	5.87439
4594	5.72097
1846	5.02851
3903	5.14086
2177	7.72415
7124	5.56197
1963	5.59745
2980	5.16475
3919	5.34937
3036	5.6548
3175	5.89657
5689	5.35999
1375	7.64183
3567	5.09599
4131	5.78431
11430	5.33374
1248	6.20579
1775	5.59939
1036	7.77828
4310	5.32485
4172	6.29984
2098	6.64753
1211	10.0882
9990	5.10887
1039	5.75753
2280	7.46515
1225	6.53689
2193	5.59823
4031	5.01732
2662	5.7786
2183	5.02382
1831	6.00595
3187	7.66835
1605	5.00649
6302	6.00621
2679	5.02564
3953	6.64214
1324	5.6865
1207	5.38116
1112	6.89337
2398	5.86681
3645	5.13117
3921	5.01297
2374	6.38237
1980	7.08675
1654	5.38988
1318	7.30171
2179	5.78953
1679	5.64391
1095	5.35119
15070	5.3723
3190	5.00927
2635	5.03814
5314	5.52748
8979	6.19932
7044	5.04181
5244	5.02612
1301	6.15229
1373	5.37413
1738	5.53162
1840	5.151
3773	7.21079
3002	5.2934
1280	5.51864
15718	5.16112
5083	5.34153
3349	5.79531
3770	6.35116
1433	5.46565
2197	5.06743
1034	5.91135
2385	6.00601
1205	5.06138
1932	5.75608
1266	5.90798
3214	5.84827
1746	5.16834
6325	5.22947
1257	5.22189
2355	5.06643
1390	6.22997
1111	6.05771
1317	5.36274
2638	5.19328
12522	5.47876
1717	5.69683
12308	5.7165
6624	5.27092
14730	5.4642
16602	5.12357
7516	5.05235
24816	5.27565
5744	5.80622
10949	6.29753
7915	5.30456
3788	5.55555
2648	6.58809
19103	5.64116
7419	5.90598
3433	6.44676
9861	6.95612
1345	9.30307
39706	6.08563
19368	6.1775
1221	9.36874
2204	8.41399
8283	5.1212
1694	5.33956
4689	5.28645
1529	5.77492
2723	5.33277
4151	5.25033
1336	11.0695
1649	6.96565
4259	5.36241
1935	7.87085
3070	5.07769
2267	5.18676
9926	5.46905
1036	5.52676
1080	5.09754
3564	5.3466
6589	5.38772
2966	5.29377
1625	5.53273
21470	5.1642
9801	5.45888
5965	5.62811
3589	6.20728
4840	5.95358
27719	5.56535
5510	6.18437
8993	6.40982
3143	6.03053
16281	5.12075
2162	5.10081
22672	5.28736
16761	5.29681
4952	5.59124
28189	5.57761
20418	5.32358
16617	5.85689
28017	5.20211
10152	5.32825
10355	5.99511
6185	6.09519
6662	5.65623
2764	6.95315
1250	6.81707
7257	6.48073
5903	5.27792
1209	6.44479
1146	6.99894
5140	5.35664
2099	5.99455
10876	5.22522
7393	5.05359
8944	5.18662
2936	5.41821
28392	5.2754
12004	5.75662
1595	5.3663
6855	5.06915
3895	5.26171
1279	6.84659
4133	5.52019
1482	6.14463
8774	5.76011
42189	5.14388
44526	5.09891
7143	5.04987
10000	5.2415
6647	7.64941
6246	5.90037
16333	5.04496
3067	5.63441
3322	6.02674
30747	6.49715
32280	6.21555
25211	5.45637
7474	5.72445
12585	5.36895
1668	5.89923
7467	6.13406
2595	5.57124
1277	8.56297
1632	7.54023
2807	6.07705
1831	6.11499
1097	6.82047
5365	5.03287
4567	5.95937
5364	5.26608
4403	5.19937
6279	5.62331
1795	5.49027
4566	5.44179
1334	5.87141
1801	6.56437
1176	6.44239
4690	5.04425
2748	5.18901
1026	6.0558
4584	5.06014
3675	5.39305
1266	5.3852
1216	6.42211
5133	5.34674
11309	5.02553
3347	5.5864
1502	6.80392
4048	5.70651
3127	7.15119
3008	5.58466
2237	5.9951
1931	5.80548
16941	5.2354
2752	6.71841
7570	6.30431
17483	8.39841
4806	5.06396
4171	6.00304
3197	5.88116
1923	5.69639
2387	5.26933
5226	5.7018
10845	5.00149
3523	5.18945
1805	5.90781
3343	6.43828
3259	5.27502
2094	5.73826
3119	5.3341
6363	5.55091
2158	5.00396
7284	5.11314
1301	7.37176
1146	6.46162
1104	7.00511
1510	6.62208
1725	5.4225
3252	5.81685
2664	5.25442
2563	5.12696
3857	5.14528
1690	6.23308
1382	5.94484
2296	5.32113
1650	6.02612
3117	7.83111
1751	5.68577
8727	5.21763
1505	5.82314
4113	5.98949
4396	5.08888
1117	5.36693
1761	5.31254
2503	5.01614
1529	5.81985
1031	7.82256
1985	5.96889
1002	5.64432
1108	7.53898
1981	5.78218
1031	8.90098
7614	6.23794
11397	5.34096
1147	6.03402
1119	7.66427
5646	5.10763
2298	5.75004
8158	5.15394
10583	5.42532
5546	6.97743
2096	5.12663
9752	5.07194
4387	5.53958
7232	5.74708
3409	5.33494
4847	5.25495
6994	5.07501
8297	5.37227
1000	7.54177
3536	5.02055
4714	6.02048
2423	6.1198
3867	5.74259
9053	5.23471
13841	7.03476
25985	5.80395
17553	5.22788
16062	6.62463
17194	5.91534
20261	6.48581
3403	5.04967
6871	5.69236
6355	5.17691
8104	5.06977
10388	5.04552
34430	5.24381
1226	5.54535
8387	5.10715
1724	6.02174
1405	6.73903
2218	6.20221
2122	7.09239
9616	5.24669
10633	5.82364
6024	6.15325
3489	5.69104
5577	5.51587
6365	5.60601
3591	5.20343
1517	5.07261
1040	6.48251
