,C1,C2,C3,GFP1,GFP2,GFP3,YAF1,YAF2,YAF3
ENSG00000287929.1,5,7,3,5,1,4,28,26,2
ENSG00000233562.1,10,11,10,2,8,10,33,26,5
ENSG00000286372.1,17,9,15,19,8,24,18,20,7
ENSG00000232860.10,88,34,27,44,67,34,68,67,40
ENSG00000116698.22,9193,6262,4191,5803,6774,4407,7614,7548,2180
ENSG00000116701.16,73,63,15,68,54,43,155,196,51
ENSG00000289732.1,0,1,0,0,0,0,1,0,0
ENSG00000289099.1,0,0,0,4,0,0,0,2,0
ENSG00000286966.1,6,5,5,0,8,2,24,31,6
ENSG00000162704.16,8835,7039,4759,4603,4437,3758,5110,4490,4168
ENSG00000143344.16,2755,2090,1468,1797,1457,1177,1942,2090,795
ENSG00000173627.8,116,126,68,97,116,88,156,126,73
ENSG00000270994.1,21,19,6,10,18,25,21,32,4
ENSG00000227554.1,26,18,15,11,10,17,30,30,6
ENSG00000289581.1,62,45,35,43,32,46,43,66,13
ENSG00000198756.12,1801,1248,835,1018,911,762,534,565,203
ENSG00000198860.14,2026,1344,1058,1427,1645,1131,1293,1058,582
ENSG00000286655.1,154,59,55,74,75,50,55,59,18
ENSG00000199840.1,0,1,0,0,0,0,0,0,0
ENSG00000207080.2,0,0,0,0,0,0,0,0,0
ENSG00000231791.1,0,0,0,0,0,0,0,2,0
ENSG00000244568.3,0,0,0,0,0,0,0,0,0
ENSG00000271387.1,18,16,6,2,8,8,12,7,2
ENSG00000116667.15,1937,1325,1067,994,1029,765,1453,1247,539
ENSG00000230470.1,32,14,20,16,16,15,27,37,15
ENSG00000232036.2,40,22,23,23,17,12,39,45,14
ENSG00000285847.2,121,68,64,47,58,43,93,113,59
ENSG00000290066.1,9,12,11,5,6,4,17,16,1
ENSG00000286378.1,2,2,3,3,4,4,4,8,4
ENSG00000116406.20,5552,3966,3026,3355,2584,2667,4184,3681,2117
ENSG00000135842.17,39416,29820,20139,18496,16288,14184,8485,8534,3969
ENSG00000252222.1,65,36,24,44,34,40,17,11,6
ENSG00000260976.2,0,0,0,0,2,0,0,0,4
ENSG00000201312.1,0,0,0,0,0,0,0,0,0
ENSG00000121481.11,1855,1224,960,1238,1180,946,1473,1157,404
ENSG00000232792.2,33,19,12,44,22,27,29,46,10
ENSG00000121486.12,1909,1375,992,1375,1776,1117,1346,1359,740
ENSG00000116668.13,432,317,260,339,214,258,339,327,192
ENSG00000231084.2,33,28,19,20,27,20,16,26,21
ENSG00000213051.3,15,12,5,6,6,2,3,6,6
ENSG00000201421.1,2,2,7,0,4,1,5,2,0
ENSG00000206640.1,5,1,0,0,3,2,0,1,0
ENSG00000233583.1,11,7,10,10,15,11,16,7,2
ENSG00000252612.1,0,4,2,0,4,0,1,0,0
ENSG00000238061.2,15,8,10,21,12,9,14,16,3
ENSG00000279838.1,104,108,57,95,66,62,120,95,46
ENSG00000116679.16,5754,4403,3251,3444,4680,2889,4188,3976,2315
ENSG00000273004.1,23,18,12,10,23,6,12,18,19
ENSG00000261024.7,16,8,7,3,3,4,7,3,4
ENSG00000252407.1,0,0,0,0,0,0,0,0,0
ENSG00000270920.1,0,0,0,0,0,0,0,0,0
ENSG00000279401.1,0,0,0,0,0,0,8,0,0
ENSG00000228309.7,0,0,0,0,2,0,0,0,0
ENSG00000207108.1,0,0,0,0,0,0,0,0,0
ENSG00000201596.1,0,0,0,0,0,0,0,0,0
ENSG00000261729.2,0,0,0,0,4,2,0,0,0
ENSG00000143341.12,8284,5357,4362,4431,3416,3289,1143,1111,419
ENSG00000224691.1,11,7,9,0,8,6,1,0,2
ENSG00000288078.1,0,0,0,0,0,0,0,0,0
ENSG00000116690.13,58,51,40,36,20,29,43,40,24
ENSG00000047410.14,14294,10077,7414,8886,6313,6432,12013,12135,4550
ENSG00000202025.1,0,0,0,0,0,0,0,0,0
ENSG00000157181.16,1861,1189,970,1263,1212,1149,1497,1315,501
ENSG00000229739.4,473,311,318,266,149,198,246,301,162
ENSG00000116703.14,69,56,67,36,48,39,47,58,22
ENSG00000273198.1,9,8,10,4,16,8,2,8,4
ENSG00000228238.1,18,7,10,0,2,11,11,12,4
ENSG00000233196.2,11,13,7,6,1,10,8,4,1
ENSG00000288562.1,1,0,1,0,0,0,0,0,0
ENSG00000073756.13,4,0,0,3,4,2,2,2,0
ENSG00000273129.3,0,0,0,0,0,0,2,0,0
ENSG00000116711.10,35,16,8,8,42,10,12,10,2
ENSG00000230426.5,72,41,36,20,33,24,9,20,4
ENSG00000271558.1,0,0,0,0,0,0,0,1,0
ENSG00000225462.1,1,0,0,2,0,0,4,6,2
ENSG00000274702.1,0,0,0,0,1,0,0,1,0
ENSG00000236401.1,0,0,0,0,0,0,0,0,0
ENSG00000223847.1,0,0,0,0,0,0,0,0,0
ENSG00000285894.2,2,0,0,0,0,0,0,0,0
ENSG00000150732.8,0,0,0,0,0,0,0,0,0
ENSG00000222240.1,0,0,0,0,0,0,0,1,0
ENSG00000261182.1,2,0,0,0,0,0,4,0,2
ENSG00000224278.1,2,0,0,2,0,0,2,0,0
ENSG00000225006.1,0,0,0,0,0,0,0,0,0
ENSG00000235083.1,0,0,0,0,0,0,0,0,0
ENSG00000231022.1,0,0,0,0,0,0,0,0,2
ENSG00000237283.2,0,2,0,0,0,0,0,0,0
ENSG00000238054.3,0,0,0,0,0,0,0,2,0
ENSG00000226486.2,0,0,0,0,0,0,0,0,0
ENSG00000271036.1,0,0,0,0,0,0,0,0,0
ENSG00000226196.1,0,0,0,0,0,0,0,0,0
ENSG00000252553.1,0,0,0,0,0,0,0,0,0
ENSG00000232212.1,0,0,0,0,0,0,0,0,0
ENSG00000238270.1,0,0,0,0,0,0,0,0,0
ENSG00000287472.1,0,0,0,0,0,0,0,0,0
ENSG00000230987.2,0,0,0,0,0,0,0,0,0
ENSG00000162670.11,0,0,0,0,0,0,0,2,0
ENSG00000225811.1,0,0,0,0,0,0,0,0,0
ENSG00000237457.6,0,0,0,0,0,0,0,0,0
ENSG00000241505.1,0,0,0,0,0,0,0,0,0
ENSG00000231175.1,0,0,0,0,0,0,0,0,0
ENSG00000236025.1,0,0,0,0,0,0,0,0,0
ENSG00000238108.1,0,0,0,0,0,0,0,0,0
ENSG00000285638.1,0,0,0,0,0,0,0,0,0
ENSG00000228020.2,0,0,0,0,0,0,0,0,0
ENSG00000261642.1,0,0,0,0,0,0,0,0,0
ENSG00000271187.1,0,0,0,0,0,0,0,0,0
ENSG00000233882.2,0,0,0,0,0,0,0,0,0
ENSG00000228215.3,0,0,0,0,0,0,0,0,0
ENSG00000223344.1,0,0,0,0,0,0,0,0,0
ENSG00000150681.10,4,0,0,0,2,0,0,0,0
ENSG00000285280.2,27,36,26,16,44,28,31,21,17
ENSG00000226723.2,18,14,12,4,8,8,24,16,18
ENSG00000236792.1,5,0,2,2,0,0,0,2,2
ENSG00000253148.1,12,3,6,6,17,9,0,5,0
ENSG00000236069.2,0,0,0,1,3,0,2,2,3
ENSG00000090104.12,0,2,0,3,0,0,4,2,0
ENSG00000289995.1,0,0,2,0,0,0,2,0,0
ENSG00000127074.15,2,0,0,2,0,0,2,2,0
ENSG00000231767.5,18,25,19,9,9,5,43,34,36
ENSG00000283795.1,0,0,0,0,0,0,0,0,0
ENSG00000228687.1,0,0,0,0,0,0,0,0,0
ENSG00000226814.2,0,2,0,0,0,0,0,0,0
ENSG00000116741.8,155,75,82,171,260,119,156,127,46
ENSG00000223075.1,2,1,0,0,2,0,0,6,0
ENSG00000234473.1,110,67,71,26,55,44,95,94,36
ENSG00000116750.14,2546,1719,1404,1703,1835,1354,2419,2167,989
ENSG00000238754.1,12,10,8,21,17,6,16,12,0
ENSG00000116747.13,13834,9233,7362,7625,5592,6026,7797,6498,3219
ENSG00000023572.10,572,475,370,398,502,355,524,467,297
ENSG00000134371.14,5063,3510,2741,3250,2934,2513,4545,4096,1806
ENSG00000221680.1,3,4,6,0,14,11,3,5,4
ENSG00000162630.6,321,232,159,183,221,134,314,339,144
ENSG00000276735.1,52,9,13,24,13,7,44,55,55
ENSG00000232077.2,6,2,9,4,17,8,14,29,6
ENSG00000286285.1,18,7,10,8,20,11,4,27,20
ENSG00000227240.2,0,1,0,0,2,1,2,2,0
ENSG00000288950.1,1,0,1,0,0,0,0,4,0
ENSG00000226640.2,0,3,0,0,1,0,3,2,2
ENSG00000237011.1,0,1,0,2,1,0,1,1,0
ENSG00000237213.2,0,0,0,0,0,0,0,0,0
ENSG00000233057.1,4,0,2,0,4,0,4,12,2
ENSG00000231714.1,0,0,0,0,0,0,0,0,0
ENSG00000251813.1,0,0,0,0,0,0,0,0,0
ENSG00000228167.1,0,0,0,0,0,0,0,0,0
ENSG00000285718.2,0,0,0,0,0,0,0,2,0
ENSG00000287364.1,0,0,0,0,0,0,0,0,0
ENSG00000227421.2,0,0,0,0,0,0,0,0,0
ENSG00000162687.19,3,2,2,3,14,4,3,6,2
ENSG00000265986.1,0,0,0,2,1,0,0,0,0
ENSG00000000971.17,0,0,0,0,0,1,0,0,0
ENSG00000289697.1,0,0,0,0,0,0,0,0,0
ENSG00000116785.15,0,0,0,0,0,0,0,0,0
ENSG00000244414.8,0,0,0,0,0,0,0,0,0
ENSG00000285986.1,0,0,0,0,0,0,0,0,0
ENSG00000134365.15,3,2,0,2,0,2,2,1,0
ENSG00000080910.14,0,0,0,0,0,0,0,0,0
ENSG00000273844.1,0,0,0,0,0,0,0,0,0
ENSG00000134389.11,0,0,0,0,2,2,2,0,0
ENSG00000143278.5,4,0,0,2,0,2,4,0,4
ENSG00000066279.19,12913,9071,6460,8740,8506,7233,16134,14417,6426
ENSG00000235748.1,101,73,61,67,83,33,113,107,81
ENSG00000177888.8,3190,2155,1661,1984,2040,1691,2195,1779,1097
ENSG00000290127.1,9,13,9,4,11,9,32,32,8
ENSG00000237861.1,3,8,8,10,0,2,4,7,4
ENSG00000134376.17,4,6,8,0,2,2,16,11,10
ENSG00000221879.3,0,0,0,0,0,0,0,1,0
ENSG00000230260.1,0,0,0,0,0,0,0,1,0
ENSG00000213047.13,2027,1289,1076,1050,917,809,1065,890,563
ENSG00000207139.1,15,3,3,6,5,3,7,4,0
ENSG00000213046.4,68,32,40,51,38,28,60,67,16
ENSG00000235582.2,6,4,4,6,7,3,8,13,0
ENSG00000233040.2,48,32,25,21,34,10,33,22,19
ENSG00000224901.1,13,10,15,13,8,9,9,9,8
ENSG00000203724.11,63,39,13,19,9,26,16,23,5
ENSG00000143355.16,6,6,0,8,4,0,56,44,14
ENSG00000151414.15,2667,1883,1517,1846,2161,1612,1939,1512,1131
ENSG00000232824.1,30,22,21,11,22,13,24,40,2
ENSG00000287989.1,0,0,0,0,0,0,2,2,0
ENSG00000151418.12,0,0,0,0,4,0,0,0,0
ENSG00000223881.2,0,0,0,0,0,0,0,3,0
ENSG00000081237.21,2,2,2,5,8,4,7,5,2
ENSG00000261573.1,2,2,0,2,4,0,0,0,0
ENSG00000236278.2,0,0,0,0,0,0,0,0,0
ENSG00000229989.6,1305,825,661,811,1164,686,187,249,64
ENSG00000207975.1,14,18,12,18,20,11,3,3,0
ENSG00000207759.1,1,2,2,2,0,1,0,0,0
ENSG00000227747.2,0,2,2,0,2,0,4,4,0
ENSG00000225172.6,0,0,0,0,0,0,1,4,2
ENSG00000233410.1,0,0,0,0,4,0,2,1,2
ENSG00000235492.1,0,0,0,0,0,0,0,4,0
ENSG00000286541.1,0,0,2,1,0,0,3,2,0
ENSG00000231718.1,2,0,2,0,3,0,6,0,2
ENSG00000228190.2,0,0,0,0,0,0,0,0,0
ENSG00000236468.1,0,0,0,2,0,0,0,0,0
ENSG00000231984.1,0,0,0,0,0,0,0,0,0
ENSG00000228530.1,0,0,0,0,0,0,0,0,0
ENSG00000200139.1,0,0,0,0,0,0,0,0,0
ENSG00000229747.1,0,0,0,0,0,0,0,0,0
ENSG00000290125.1,0,0,0,0,0,0,2,0,0
ENSG00000202491.1,0,0,0,0,0,0,0,0,0
ENSG00000202329.1,1,0,0,0,0,0,0,0,0
ENSG00000116833.14,9,2,4,26,38,24,40,18,4
ENSG00000252860.1,0,0,0,0,0,0,0,4,0
ENSG00000229220.1,0,0,0,0,0,0,0,3,2
ENSG00000233827.2,0,0,0,0,0,0,0,4,0
ENSG00000203721.8,32,32,10,53,88,42,62,47,11
ENSG00000273093.1,0,0,0,1,0,0,0,1,0
ENSG00000213045.3,3,4,0,2,7,8,2,6,0
ENSG00000230623.8,13,5,7,7,20,17,21,19,10
ENSG00000162702.8,4029,2480,1892,2370,2841,1897,2337,2182,717
ENSG00000282849.1,0,0,2,0,3,0,4,2,2
ENSG00000118193.12,3588,2700,1791,2884,2788,2210,5117,4390,2377
ENSG00000118197.14,1226,873,613,664,647,507,1015,895,437
ENSG00000260088.1,28,25,12,11,12,14,42,31,26
ENSG00000118200.15,8911,6189,4602,5992,5851,4582,6510,5713,2116
ENSG00000231333.2,25,36,15,22,30,20,38,43,19
ENSG00000170128.5,0,0,2,0,0,2,3,6,2
ENSG00000163362.11,25,23,7,26,72,18,162,177,79
ENSG00000233217.2,0,0,0,1,0,0,4,2,0
ENSG00000201032.1,0,0,0,0,0,0,0,0,0
ENSG00000116852.15,78,66,62,88,110,58,574,562,227
ENSG00000229191.1,0,0,0,0,0,0,2,2,0
ENSG00000234132.2,0,0,0,0,0,0,0,2,0
ENSG00000081248.12,2,1,0,1,0,1,17,12,6
ENSG00000232237.5,10,15,10,8,22,16,25,45,8
ENSG00000116857.17,2948,2441,1683,1944,1872,1504,2717,2594,1796
ENSG00000163395.17,2,4,6,8,6,4,5199,6275,2333
ENSG00000229821.1,0,0,0,0,0,0,100,118,49
ENSG00000081277.13,7,4,0,0,4,0,332,347,125
ENSG00000118194.21,0,0,0,0,0,0,0,4,4
ENSG00000286600.1,0,0,0,0,0,0,0,0,0
ENSG00000159166.15,0,0,0,0,0,0,34,54,7
ENSG00000282221.1,0,0,0,0,0,0,0,2,0
ENSG00000159173.19,0,4,0,0,0,1,51,42,12
ENSG00000227048.2,0,0,1,0,0,0,0,0,0
ENSG00000174307.7,1323,1326,818,884,827,647,3180,3225,2233
ENSG00000224818.1,0,0,0,0,0,0,0,0,0
ENSG00000159176.14,9376,7732,5078,5446,4535,3965,9191,8873,4587
ENSG00000224536.2,134,128,70,81,64,67,156,105,49
ENSG00000223396.4,448,350,277,240,165,208,438,426,272
ENSG00000134369.16,14076,10109,7827,7183,5969,5377,11628,12600,4560
ENSG00000236390.1,97,65,77,60,60,54,162,168,20
ENSG00000231871.5,71,52,48,30,35,25,53,84,26
ENSG00000264802.1,20,10,10,6,6,8,21,19,4
ENSG00000235121.1,267,183,137,117,126,125,247,262,135
ENSG00000200942.1,12,15,7,13,10,4,22,21,0
ENSG00000221028.1,0,0,0,0,0,0,0,0,0
ENSG00000198700.10,13825,10238,7379,8241,8136,6628,12438,11663,5459
ENSG00000277681.1,40,39,32,32,38,26,61,45,76
ENSG00000198892.7,2065,1703,1056,1187,1022,839,1601,1638,912
ENSG00000223774.5,0,1,0,0,1,0,4,0,0
ENSG00000163431.13,40,48,29,39,26,33,150,160,48
ENSG00000134375.11,2318,1649,1201,1266,1260,1098,2145,2001,1094
ENSG00000206637.1,0,1,0,0,0,0,0,0,0
ENSG00000238003.1,0,0,0,0,0,0,2,2,2
ENSG00000176393.11,4538,3874,2760,2605,2686,1928,4460,4524,2816
ENSG00000234678.2,447,294,223,203,244,207,517,605,353
ENSG00000275207.1,4,6,1,1,1,1,13,9,3
ENSG00000163435.16,123,97,61,85,105,68,753,838,493
ENSG00000249007.1,3,2,1,1,0,0,19,18,17
ENSG00000232296.1,0,1,0,1,0,0,2,0,0
ENSG00000235811.1,0,0,0,0,0,0,0,0,0
ENSG00000212512.2,0,0,0,0,0,0,1,0,0
ENSG00000227109.1,0,0,0,0,0,0,8,8,0
ENSG00000170075.10,259,182,147,134,72,125,460,445,175
ENSG00000143862.8,2756,2276,1496,1740,1640,1254,2039,1906,723
ENSG00000143851.16,31,36,16,12,18,22,244,367,97
ENSG00000243323.7,22,20,22,13,9,13,499,636,279
ENSG00000133067.18,5,5,2,3,4,4,4204,4034,2139
ENSG00000077152.12,1020,791,568,615,821,512,1384,1420,706
ENSG00000077157.23,2720,1878,1448,1925,1820,1636,3214,3306,1237
ENSG00000229120.2,22,9,16,20,13,19,45,50,22
ENSG00000272262.1,3,4,2,1,0,0,3,6,6
ENSG00000232626.3,71,40,34,46,34,42,107,106,63
ENSG00000236439.4,31,12,11,32,12,9,33,30,8
ENSG00000253042.1,12,6,11,9,8,17,28,17,2
ENSG00000143858.12,107,72,67,75,64,54,312,370,155
ENSG00000226862.1,2,7,3,7,5,4,7,15,4
ENSG00000225620.1,0,0,0,0,0,0,0,4,4
ENSG00000117139.18,6394,4706,3449,4448,4102,3388,5713,5832,3098
ENSG00000235449.2,64,22,27,23,20,28,41,51,12
ENSG00000226148.1,99,78,89,76,59,49,96,134,46
ENSG00000260021.1,10,0,0,0,2,0,3,0,0
ENSG00000228288.9,30,37,28,44,28,20,16,22,0
ENSG00000184774.10,0,0,0,4,1,0,4,0,2
ENSG00000291234.1,24,25,16,4,20,5,35,45,23
ENSG00000214796.10,8,5,1,1,0,2,7,4,0
ENSG00000234996.4,60,29,19,39,50,37,78,73,21
ENSG00000183155.5,1236,968,746,757,772,642,1096,1073,458
ENSG00000117153.16,1851,1464,1044,1109,1142,879,1680,1612,891
ENSG00000230280.2,109,90,72,66,60,44,114,97,13
ENSG00000199471.1,20,12,18,14,7,8,24,19,9
ENSG00000159346.13,6069,4679,3154,3303,3653,2827,4304,3864,1452
ENSG00000159348.13,2001,1644,1072,1195,1006,937,1291,1401,587
ENSG00000234761.2,0,1,0,0,0,0,0,0,0
ENSG00000290909.1,0,0,0,0,0,0,0,0,0
ENSG00000231547.1,0,0,0,0,0,0,0,0,0
ENSG00000163444.12,2829,2205,1678,1918,2035,1490,2584,2269,1643
ENSG00000143847.16,1476,1112,965,725,437,619,1970,2338,1145
ENSG00000122180.5,6,0,1,3,4,0,1,11,3
ENSG00000163485.17,256,225,167,170,226,105,1002,889,484
ENSG00000234775.2,2,0,1,2,5,4,28,27,7
ENSG00000224671.2,10,6,15,0,4,4,31,31,8
ENSG00000133055.10,12,9,18,2,5,2,400,412,142
ENSG00000133048.13,36,28,12,9,14,17,4329,4729,1406
ENSG00000133063.16,0,0,3,0,3,0,10,8,2
ENSG00000236523.2,0,0,0,0,0,2,2,0,0
ENSG00000231507.4,1,3,0,0,0,0,9,6,0
ENSG00000288925.1,0,0,2,0,0,0,0,0,0
ENSG00000233791.7,8,2,2,2,6,2,12,2,2
ENSG00000159388.6,1823,1413,974,916,516,742,1311,1294,579
ENSG00000202300.1,0,0,0,2,0,0,2,5,0
ENSG00000122176.12,20,24,8,6,10,12,17,19,6
ENSG00000229652.1,0,0,0,0,0,0,0,0,0
ENSG00000271588.1,0,0,0,0,0,0,0,0,0
ENSG00000188783.6,203,92,99,86,51,45,238,288,88
ENSG00000188770.10,10,21,17,12,5,3,20,42,9
ENSG00000058668.16,36866,26115,19823,17103,9704,12511,19913,20136,8018
ENSG00000236035.2,145,80,79,102,60,66,77,136,18
ENSG00000221643.1,38,33,25,29,10,22,34,34,10
ENSG00000122188.13,4,4,2,6,14,7,12,16,2
ENSG00000257315.4,420,301,215,232,134,164,329,377,111
ENSG00000058673.17,106,66,34,63,26,39,77,74,32
ENSG00000288644.1,0,0,0,0,0,0,0,0,0
ENSG00000227417.3,246,173,182,108,129,128,266,284,63
ENSG00000223505.2,44,34,42,35,18,40,71,55,20
ENSG00000182004.13,1785,1522,855,1139,1235,750,1742,1737,1240
ENSG00000236430.1,69,54,38,25,40,21,47,34,14
ENSG00000232917.5,12,9,5,4,6,4,2,7,4
ENSG00000237379.1,7,12,4,4,5,5,0,2,2
ENSG00000286383.2,16,16,2,4,16,13,2,3,0
ENSG00000176754.13,7,1,5,11,16,4,1,0,4
ENSG00000286572.1,76,83,55,50,36,40,29,36,6
ENSG00000143842.15,11132,9222,6645,7020,5609,5244,3318,3556,1413
ENSG00000261065.1,0,0,0,0,0,0,0,0,0
ENSG00000143845.15,1118,1044,675,725,681,599,1331,1352,749
ENSG00000230550.2,62,60,32,32,39,29,54,77,20
ENSG00000143839.15,2,7,6,4,7,10,10,20,2
ENSG00000225522.2,0,0,0,0,0,0,0,0,0
ENSG00000170498.10,0,4,0,1,4,0,92,70,66
ENSG00000174567.8,0,5,0,1,6,4,42,56,34
ENSG00000143850.16,325,260,158,252,210,164,2308,2223,857
ENSG00000231691.2,20,3,6,7,6,8,72,95,39
ENSG00000219133.2,160,183,71,131,136,47,245,213,308
ENSG00000280924.1,3,2,2,6,2,0,11,14,2
ENSG00000226330.1,16,13,7,7,17,5,48,70,24
ENSG00000237848.1,15,15,2,12,13,4,42,26,3
ENSG00000158615.10,5951,4476,3328,4124,5168,3487,7558,6646,3291
ENSG00000288934.2,6,7,4,10,11,0,3,7,1
ENSG00000133056.14,1244,958,684,808,794,506,1397,1471,646
ENSG00000198625.14,8666,6466,4810,5530,4574,4627,6453,6776,3166
ENSG00000236779.1,66,54,31,47,41,26,38,62,40
ENSG00000200408.1,0,0,0,0,0,1,0,0,0
ENSG00000240710.1,13,9,1,14,0,1,10,26,10
ENSG00000170382.12,30,29,12,31,20,22,106,144,48
ENSG00000240219.1,22,4,4,8,4,16,68,53,28
ENSG00000228153.1,0,0,0,0,0,0,0,2,2
ENSG00000252650.1,0,0,0,0,0,0,0,0,0
ENSG00000251861.1,0,0,0,0,0,0,0,0,0
ENSG00000287197.1,6,8,6,6,2,7,20,13,0
ENSG00000163531.17,2299,1590,1285,1315,1424,1020,2848,2879,942
ENSG00000229657.2,46,20,33,24,19,16,42,55,15
ENSG00000184144.12,79,69,68,67,68,48,79,119,54
ENSG00000174529.7,147,118,80,97,76,72,133,127,82
ENSG00000117222.14,2942,2183,1522,1916,1872,1555,2975,2814,1127
ENSG00000271580.1,85,65,34,70,68,51,117,93,80
ENSG00000236108.1,6,1,5,2,6,0,7,6,3
ENSG00000133059.17,4076,3043,2108,2831,2429,2336,2858,2926,1394
ENSG00000213041.4,80,40,39,35,25,40,42,54,17
ENSG00000133069.17,1200,975,725,1076,1248,720,983,939,381
ENSG00000225063.1,21,15,26,14,19,7,17,16,2
ENSG00000163545.11,2011,1917,1171,1821,2360,1477,3554,3991,1370
ENSG00000162873.15,58,30,29,34,47,41,51,66,8
ENSG00000235363.1,83,78,50,60,79,30,106,84,74
ENSG00000226235.1,9,10,4,10,4,2,6,20,4
ENSG00000186007.10,63,63,28,29,11,34,66,56,25
ENSG00000281406.2,1331,1085,802,734,564,534,1100,1367,454
ENSG00000199059.3,30,19,21,13,7,9,5,27,10
ENSG00000224717.1,4,8,0,1,2,0,3,3,5
ENSG00000117266.16,214,178,89,124,163,109,1898,2096,763
ENSG00000253097.1,0,0,0,0,0,0,0,0,0
ENSG00000174514.13,123,84,66,81,108,81,215,248,98
ENSG00000206762.1,23,2,12,9,4,4,28,30,5
ENSG00000158711.14,10761,7340,5462,6089,4976,4775,9461,8361,3602
ENSG00000236942.1,65,81,39,26,34,39,64,78,51
ENSG00000158715.6,501,415,276,351,580,326,713,660,356
ENSG00000275213.1,0,0,0,0,0,0,1,0,5
ENSG00000069275.13,41253,29487,20837,22318,20549,17599,27017,23351,10327
ENSG00000201944.1,49,33,36,34,37,30,50,37,14
ENSG00000117280.13,1860,1216,981,1237,1256,995,2576,2158,1326
ENSG00000285521.1,0,8,4,6,3,0,4,8,2
ENSG00000133065.11,4272,2779,2180,2516,2472,1897,3961,4020,1335
ENSG00000286619.1,1050,732,646,594,523,535,956,953,368
ENSG00000162877.13,321,227,205,193,180,167,292,355,109
ENSG00000174502.19,226,175,144,110,96,96,248,226,92
ENSG00000227687.1,0,1,0,0,0,0,0,1,0
ENSG00000276600.5,208,147,110,143,53,100,527,576,271
ENSG00000196188.12,9,1,3,25,24,16,48,31,10
ENSG00000285417.1,0,0,0,2,0,0,5,2,0
ENSG00000263961.8,0,0,0,0,0,0,0,0,0
ENSG00000252692.1,0,0,0,0,0,0,0,0,0
ENSG00000198049.7,4,0,0,2,2,0,24,26,10
ENSG00000226780.1,0,0,0,0,0,0,0,0,0
ENSG00000287432.1,0,2,0,2,10,2,1,2,2
ENSG00000225483.1,4,2,0,9,7,2,4,0,0
ENSG00000236889.1,0,2,1,3,4,1,7,4,1
ENSG00000196550.11,306,188,134,171,216,152,377,375,182
ENSG00000266028.8,4351,3202,2297,2633,2754,1905,4612,4556,1913
ENSG00000229509.1,10,6,3,1,5,0,8,7,4
ENSG00000263528.8,1271,897,637,1181,1340,901,2274,2465,1026
ENSG00000278465.1,1,0,0,1,0,0,1,0,0
ENSG00000162888.4,126,86,43,73,72,51,214,249,88
ENSG00000261000.1,23,17,18,15,20,12,69,62,14
ENSG00000266094.8,563,482,288,365,373,305,1627,1527,662
ENSG00000234981.1,15,15,6,4,12,6,46,55,19
ENSG00000279946.1,5,8,6,4,8,6,157,161,76
ENSG00000143486.16,1833,1418,935,1274,1143,960,2051,1838,867
ENSG00000237605.3,10,10,0,6,3,2,11,8,10
ENSG00000143479.18,1913,1354,987,1099,1274,800,2132,1754,981
ENSG00000162889.11,5049,4088,2897,3205,3886,2462,5290,5497,2406
ENSG00000224114.1,218,170,115,123,126,87,219,257,143
ENSG00000199349.1,3,4,5,4,4,1,2,6,0
ENSG00000136634.7,18,2,4,8,6,5,59,63,13
ENSG00000142224.18,0,2,2,0,0,2,7,13,11
ENSG00000162891.11,0,0,0,0,0,0,8,2,2
ENSG00000162892.16,11,9,5,9,11,10,376,323,122
ENSG00000162894.12,67,77,47,72,39,40,410,373,174
ENSG00000271680.1,1,6,0,5,3,2,13,6,0
ENSG00000226945.1,0,6,0,2,4,6,8,25,10
ENSG00000162896.6,0,2,2,0,2,2,21,22,12
ENSG00000162897.16,0,0,0,4,0,2,0,4,0
ENSG00000182795.13,16,12,8,28,44,30,56,59,11
ENSG00000123836.15,982,666,534,548,493,483,1171,1147,494
ENSG00000180667.11,1927,1204,999,1241,1278,980,1390,1150,663
ENSG00000123843.13,0,0,0,0,0,0,3,2,0
ENSG00000123838.11,0,0,0,0,0,0,0,0,0
ENSG00000275392.1,0,0,0,0,0,0,0,0,0
ENSG00000226565.2,2,0,1,2,0,0,0,4,2
ENSG00000224462.2,0,0,2,0,0,0,0,0,0
ENSG00000243636.1,0,0,0,0,0,0,0,0,0
ENSG00000232621.1,0,0,0,0,0,0,0,0,0
ENSG00000237074.2,0,0,0,0,0,1,0,0,0
ENSG00000196352.18,89,56,49,87,147,67,139,139,68
ENSG00000283044.1,0,0,0,0,0,0,0,0,0
ENSG00000117322.19,0,0,0,0,0,0,0,0,0
ENSG00000203710.12,1,2,0,0,0,0,0,0,0
ENSG00000236911.6,0,0,0,0,0,0,0,0,0
ENSG00000197721.17,0,0,0,2,0,2,0,0,4
ENSG00000244703.3,22,7,17,5,1,7,32,33,30
ENSG00000226289.1,0,0,0,0,0,0,0,0,0
ENSG00000274059.1,0,0,0,0,0,0,0,0,0
ENSG00000285239.1,0,0,0,0,0,0,0,0,0
ENSG00000117335.21,6888,4707,3915,3758,2704,2938,8179,6999,4264
ENSG00000234219.1,68,61,38,46,46,32,97,80,45
ENSG00000203709.13,1240,1041,645,775,797,666,2174,2577,1237
ENSG00000284214.1,0,0,0,0,0,0,0,0,0
ENSG00000284203.1,0,0,0,0,0,0,0,0,0
ENSG00000289071.2,26,23,26,29,34,34,65,76,39
ENSG00000174059.17,275,182,128,185,293,146,667,571,212
ENSG00000285719.2,0,1,0,0,3,4,2,2,0
ENSG00000284237.1,19,16,14,4,13,8,22,28,10
