"gene_id","gene_name","log2FC_expr","regulation","YAF_1","YAF_2","YAF_3","GFP_1","GFP_2","GFP_3","YAF_avg","GFP_avg","log2FC_binding"
"ENSG00000140090","SLC24A4",3.91346547063098,"Upregulated",21.3120997914097,12.2607349669876,15.5237476919827,18.6752676768654,21.9767753581761,23.6983970746475,16.36552748346,21.4501467032297,-0.388248960224303
"ENSG00000140279","DUOX2",2.5688091594023,"Upregulated",22.1046829070942,32.2837127643161,36.4153012295987,87.5017227344826,60.4726827467902,99.0802715115431,30.267898967003,82.3515589976053,-1.44099967477931
"ENSG00000140451","PIF1",1.09272935509443,"Upregulated",29.2623451058612,21.7237711477603,25.5236163798289,31.8394196812184,23.4248454788375,36.9146870421736,25.5032442111501,30.7263174007431,-0.2678359242466
"ENSG00000140511","HAPLN3",1.86368641489933,"Upregulated",28.8693039400812,40.0583500210037,31.4950928066088,56.7730127688702,38.8126045482689,63.3311836378915,33.4742489225645,52.9722669850102,-0.660603048867026
"ENSG00000143554","SLC27A3",1.00264322485028,"Upregulated",25.6636741606312,35.072573463122,35.8849462897091,53.8312789760374,38.4225586002988,55.6043416256467,32.2070646378208,49.2860597339943,-0.612254192042988
"ENSG00000144136","SLC20A1",1.16117181796467,"Upregulated",28.3990068126004,21.0816458847212,23.6719578898281,17.3406434228763,16.8213391769677,17.847329216251,24.3842035290499,17.3364372720317,0.489745976699578
"ENSG00000144596","GRIP2",1.9345342666258,"Upregulated",11.3107519775629,21.171652726638,22.5851811810371,50.9393471062429,24.8469473043313,56.0991229171917,18.355861961746,43.961805775922,-1.25544950320323
"ENSG00000145040","UCN2",2.83305906257722,"Upregulated",9.12657423736004,27.071179120705,24.6368959229362,25.3365136190902,17.8945159877253,20.5326725780664,20.2782164270004,21.2545673949607,-0.0675168845778689
"ENSG00000146072","TNFRSF21",2.86639370429625,"Upregulated",26.6499851465225,22.5874970255112,22.0649902963899,15.3196283999611,18.4374351027992,30.6612369240158,23.7674908228079,21.4727668089254,0.145835683797057
"ENSG00000146122","DAAM2",4.52080394010691,"Upregulated",23.1996392735839,10.1383830733847,9.31046666181524,19.1967590747796,20.3009495888487,16.1777616259978,14.2161630029279,18.558490096542,-0.382187368116809
"ENSG00000146215","CRIP3",2.34791842952232,"Upregulated",14.6111605834523,13.23420697109,15.0145410564897,24.1782759346597,26.1169628869486,27.9858289370461,14.2866362036774,26.0936892528848,-0.864489961259684
"ENSG00000148734","NPFFR1",2.60995714411153,"Upregulated",14.5882451080401,20.7058456855036,17.6374464114325,23.8180166569728,23.3446869797666,29.8885490240784,17.643845734992,25.6837508869393,-0.539143426916734
"ENSG00000149926","TLCD3B",2.02386680939345,"Upregulated",9.82901943253504,9.78173659718474,9.99560563277481,17.2325367791934,15.1051111185905,21.1307650137756,9.86878722083153,17.8228043038532,-0.846306481793223
"ENSG00000149968","MMP3",5.33829587831756,"Upregulated",29.1050006014109,13.780216580321,15.3526761910495,8.06267329524545,9.93927808338776,11.2616012842968,19.4126311242605,9.75451755431001,0.98555117872946
"ENSG00000152475","ZNF837",1.10840367075274,"Upregulated",14.1446505723023,12.451385947854,13.5899238079152,20.4924620496995,18.273324322932,19.330681506225,13.3953201093572,19.3654892929522,-0.528459411371152
"ENSG00000153094","BCL2L11",2.10343917344963,"Upregulated",16.7263255951216,28.2403439388999,25.3867081377241,35.3186529707317,22.6292216625868,44.629707105232,23.4511258905819,34.1925272461835,-0.542098198758817
"ENSG00000155367","PPM1J",2.03730329778783,"Upregulated",26.6337527962601,33.9942598473674,39.2154778861083,59.8971738155308,36.7563013973039,65.5868789562117,33.2811635099119,54.0801180563488,-0.698729295997877
"ENSG00000157150","TIMP4",1.45009744599978,"Upregulated",12.3405500998864,18.859214981082,17.3082018371891,18.3095419642537,10.5134851801576,20.8613162353201,16.1693223060525,16.5614477932438,-0.0343596116390752
"ENSG00000157470","FAM81A",1.05529430168614,"Upregulated",17.0728432718007,37.5402230575305,36.6854964320002,22.4680364827819,24.6238560937345,25.4640021577549,30.4328542537771,24.1852982447571,0.330279256961688
"ENSG00000160145","KALRN",1.42335530631627,"Upregulated",18.1465871266697,26.588008736074,25.2481447987153,23.9404791549291,19.8611610669229,28.909326585286,23.3275802204863,24.2369889357126,-0.0549427340801256
